Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs
Tue Dec 01 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 02 2020,0,0,4.58,196,9,1,0,1,0,26,7,916,201,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 03 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 04 2020,0,0,3.29,254,9,0,0,0,0,27,5,619,188,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Dec 05 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 06 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 07 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 08 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 09 2020,0,0,4.56,323,8,2,1,0,0.1,25,8,967,212,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 10 2020,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 11 2020,0,0,5.91,411,13,0,1,3,0,42,10,1182,200,22,0,0,0,0,0.0525,0,0,0,0,0,0,0,0
Sat Dec 12 2020,0,0,0,0,0,5,1,0,0,0,0,0,0,0,4.484999999999999,0,2.39,3,0,0,0,0,0,2,2,1,1
Sun Dec 13 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Mon Dec 14 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Tue Dec 15 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Wed Dec 16 2020,0,0,2.48,323,13,2,0,7,0,48,7,551,222,28,0,0,0,0,0.0665,0,0,0,0,0,0,0,0
Thu Dec 17 2020,0,0,4.1,181,7,3,1,0,0,27,7,725,177,16,0,0,0,0,0.027999999999999997,0,0,0,0,0,0,0,0
Fri Dec 18 2020,0,0,2.75,247,6,8,1,0,0,43,6,539,195,21,2.3,0,0,0,0.042,0,0,0,0,1,1,0,0
Sat Dec 19 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 20 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 21 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 22 2020,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 23 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 24 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 25 2020,0,0,3.35,236,12,0,0,1,0,37,6,617,185,21,0,0,0,0,0.027999999999999997,0,0,0,0,0,0,0,0
Sat Dec 26 2020,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,1,1
Sun Dec 27 2020,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 28 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 29 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Wed Dec 30 2020,0,0,4.55,420,10,0,0,2,6.37,45,9,1083,238,21,0,0,0,0,0.049,0,0,0,0,0,0,0,0
Thu Dec 31 2020,0,0,4.07,321,9,0,0,0,0,28,8,925,227,15,0,0,0,0,0.0245,0,0,0,0,0,0,0,0
Fri Jan 01 2021,0,0,3.85,266,10,0,0,2,0,44,7,908,235,23,0,0,0,0,0.0245,0,0,0,0,0,0,0,0
Sat Jan 02 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 03 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 04 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 05 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 06 2021,0,0,3.74,223,6,0,1,0,0,22,7,721,193,14,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0
Thu Jan 07 2021,0,0,4.17,228,7,0,0,1,0,23,8,830,199,14,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Fri Jan 08 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 09 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 10 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 11 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 12 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375,0,0,0,0,0,0,0,0,1,1,0,0
Wed Jan 13 2021,0,0,8.64,372,15,0,2,10,4.9,59,13,1633,190,31,0,0,0,0,0.0315,0,0,0,0,0,0,0,0
