Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs
Tue Jul 27 2021,1,17.48,11.93,387,23,0,0,1,2.2,80,21,2458,206,55,0,0,0,0,0.059500000000000004,0,0,0,0,0,0,0,0
Wed Jul 28 2021,0,0,12.92,656,32,0,1,9,4.41,145,28,3061,238,83,0,0,0,0,0.0385,0,0,0,0,0,0,0,0
Thu Jul 29 2021,0,0,0,3,2,0,0,1,0,0,0,0,0,0,2.305,2.495,11.995,0,0.0105,0,0,0,1,1,1,5,5
Fri Jul 30 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Sat Jul 31 2021,0,0,10.69,484,36,3,2,7,6.38,125,20,2287,214,79,0,0,0,0,0.147,0,0,0,0,0,0,0,0
Sun Aug 01 2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0.88,0,0,1,1,0,0
Mon Aug 02 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 03 2021,0,0,9.35,410,25,1,0,0,4.44,81,15,1916,205,60,0,0,0,0,0.063,0,0,0,0,0,0,0,0
Wed Aug 04 2021,0,0,7.2,244,21,1,0,0,6.79,75,18,1325,184,51,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Thu Aug 05 2021,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Fri Aug 06 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 07 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,2,2,0,0
Sun Aug 08 2021,0,0,18.24,710,35,3,1,5,24.41,128,40,3831,211,94,2.545,0,0,0,0.105,0,0,0,0,1,1,0,0
Mon Aug 09 2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0.0034999999999999996,0,0,0,0,0,0,0,0
Tue Aug 10 2021,0,0,11.32,279,22,12,3,5,0,52,18,1177,104,45,2.375,0,0,0,0.0455,0,0,0,0,1,1,0,0
Wed Aug 11 2021,0,0,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 12 2021,0,0,8.8,218,22,0,0,1,0,57,16,1267,143,44,2.375,0,0,0,0.0735,0,0,0,0,1,1,0,0
Fri Aug 13 2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 14 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0
Sun Aug 15 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Mon Aug 16 2021,0,0,15.47,406,34,3,3,4,18.32,107,24,2970,191,79,0,0,0,0,0.11199999999999999,0,0,0,0,0,0,0,0
Tue Aug 17 2021,0,0,10.29,305,18,0,0,2,0,67,15,2099,204,46,2.37,0,0,0,0.055999999999999994,0,0,0,0,1,1,0,0
Wed Aug 18 2021,0,0,0,3,1,1,1,3,0,0,0,0,0,0,4.915,0,0,0,0.0034999999999999996,0,0,0,0,2,2,0,0
Thu Aug 19 2021,0,0,21.16,634,39,8,4,12,17.92,149,37,4168,197,94,0,0,0,0,0.1225,0,0,0,0,0,0,0,0
Fri Aug 20 2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.355,0,11.995,101,0,0,0.24,0,0,2,2,5,5
Sat Aug 21 2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 22 2021,0,0,7.73,364,17,1,0,2,0,54,16,1438,187,47,0,0,0,0,0.0315,0,0,0,0,0,0,0,0
Mon Aug 23 2021,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0
Tue Aug 24 2021,0,0,24.53,598,51,0,0,16,31.85,215,60,5004,204,162,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 25 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0.04,0,0,1,1,0,0
